City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,tete,-16.1564,33.5867,28.05,65,20,2.57,MZ,1708136128
321,lebu,-37.6167,-73.65,15.36,92,73,7.55,CL,1708136128
322,campo verde,-20.4167,-54.0667,25.46,70,97,1.85,BR,1708135851
323,videira,-27.0083,-51.1517,18.09,99,98,1.39,BR,1708136128
324,saint-philippe,-21.3585,55.7679,25.77,88,99,7.88,RE,1708136128
325,beidaihehaibin,39.8222,119.5181,3.25,72,77,4.28,CN,1708136128
326,newport,51.5877,-2.9984,10.81,95,97,2.36,GB,1708136072
327,ringas,27.35,75.5667,11.62,35,0,0.28,IN,1708136128
328,asosa,10.0667,34.5333,18.44,23,59,2.86,ET,1708136129
329,kuala tungkal,-0.8167,103.4667,24.43,96,100,2.46,ID,1708136129
330,nemuro,43.3236,145.575,-4.41,77,34,1.34,JP,1708136060
331,quang ngai,15.1167,108.8,23.64,74,0,1.01,VN,1708136129
332,chemolgan,43.1897,76.5292,-23.19,76,5,2.32,KZ,1708136129
333,ma'rib,15.4591,45.3253,21.64,49,84,0.52,YE,1708136129
334,santiago de cao,-7.9589,-79.2392,24.07,83,20,4.63,PE,1708136129
335,inarajan village,13.2736,144.7484,31.54,82,11,4.92,GU,1708136129
336,meadow lakes,61.6247,-149.6011,2.57,52,0,0.0,US,1708136129
337,buncrana,55.1333,-7.45,8.03,96,64,2.89,IE,1708136129
338,pontian kechil,1.4866,103.3896,29.54,84,58,3.45,MY,1708136129
339,morondava,-20.2833,44.2833,26.11,85,55,0.92,MG,1708136130
340,gunjur,13.2019,-16.7339,22.04,83,0,1.03,GM,1708136130
341,llorente,11.4119,125.5458,27.82,64,95,4.09,PH,1708136130
342,kokopo,-4.352,152.2633,28.28,80,96,2.73,PG,1708136130
343,vila velha,-20.3297,-40.2925,24.41,94,40,1.34,BR,1708136130
344,gahanna,40.0192,-82.8793,-1.64,94,100,5.14,US,1708136130
345,selfoss,63.9331,-20.9971,2.69,86,100,4.35,IS,1708135872
346,ivdel',60.6911,60.4206,-27.12,98,11,1.79,RU,1708136130
